Text,Label
I'm so happy with this app.,Positive
This app is terrible.,Negative
I hate this restaurant. It's a complete waste of money.,Negative
Do not buy this experience. It's useless.,Negative
Highly recommend this item.,Positive
Do not buy this app. It's useless.,Negative
Do not buy this movie. It's useless.,Negative
This is the best restaurant I've ever used.,Positive
Do not buy this app. It's useless.,Negative
This movie is terrible.,Negative
I hate this app. It's a complete waste of money.,Negative
Highly recommend this restaurant.,Positive
This restaurant is terrible.,Negative
I hate this app. It's a complete waste of money.,Negative
Highly recommend this item.,Positive
I absolutely loved this service!,Positive
I regret purchasing this app.,Negative
Worst experience ever with this movie.,Negative
Do not buy this movie. It's useless.,Negative
Highly recommend this movie.,Positive
Do not buy this app. It's useless.,Negative
I regret purchasing this experience.,Negative
What a fantastic experience with this restaurant!,Positive
This service is terrible.,Negative
I'm so happy with this movie.,Positive
Do not buy this service. It's useless.,Negative
I regret purchasing this service.,Negative
I'm so happy with this item.,Positive
Worst experience ever with this service.,Negative
I hate this movie. It's a complete waste of money.,Negative
What a fantastic experience with this movie!,Positive
What a fantastic experience with this movie!,Positive
I hate this movie. It's a complete waste of money.,Negative
I'm so happy with this restaurant.,Positive
I hate this restaurant. It's a complete waste of money.,Negative
Worst experience ever with this restaurant.,Negative
What a fantastic experience with this item!,Positive
I'm so happy with this experience.,Positive
Do not buy this item. It's useless.,Negative
Worst experience ever with this service.,Negative
I hate this movie. It's a complete waste of money.,Negative
I'm so happy with this movie.,Positive
Do not buy this item. It's useless.,Negative
I regret purchasing this experience.,Negative
Highly recommend this app.,Positive
I'm so happy with this item.,Positive
What a fantastic experience with this app!,Positive
Do not buy this service. It's useless.,Negative
I hate this item. It's a complete waste of money.,Negative
I hate this movie. It's a complete waste of money.,Negative
Highly recommend this experience.,Positive
This is the best item I've ever used.,Positive
This item is terrible.,Negative
This restaurant is terrible.,Negative
I'm so happy with this restaurant.,Positive
Worst experience ever with this restaurant.,Negative
I regret purchasing this restaurant.,Negative
I regret purchasing this service.,Negative
Do not buy this item. It's useless.,Negative
I regret purchasing this service.,Negative
Do not buy this restaurant. It's useless.,Negative
Worst experience ever with this movie.,Negative
Highly recommend this app.,Positive
Do not buy this experience. It's useless.,Negative
What a fantastic experience with this restaurant!,Positive
I absolutely loved this app!,Positive
This item is terrible.,Negative
Highly recommend this service.,Positive
I absolutely loved this experience!,Positive
Worst experience ever with this app.,Negative
This is the best service I've ever used.,Positive
I hate this movie. It's a complete waste of money.,Negative
I hate this service. It's a complete waste of money.,Negative
I absolutely loved this movie!,Positive
Worst experience ever with this movie.,Negative
I hate this item. It's a complete waste of money.,Negative
I'm so happy with this experience.,Positive
I absolutely loved this service!,Positive
This experience is terrible.,Negative
I absolutely loved this experience!,Positive
I regret purchasing this restaurant.,Negative
Highly recommend this service.,Positive
I hate this app. It's a complete waste of money.,Negative
I absolutely loved this movie!,Positive
Do not buy this experience. It's useless.,Negative
I'm so happy with this movie.,Positive
I hate this restaurant. It's a complete waste of money.,Negative
I regret purchasing this item.,Negative
Do not buy this experience. It's useless.,Negative
I absolutely loved this item!,Positive
I'm so happy with this item.,Positive
I regret purchasing this movie.,Negative
This experience is terrible.,Negative
Highly recommend this app.,Positive
This is the best experience I've ever used.,Positive
Do not buy this item. It's useless.,Negative
Worst experience ever with this restaurant.,Negative
I'm so happy with this app.,Positive
What a fantastic experience with this app!,Positive
I absolutely loved this item!,Positive
Do not buy this experience. It's useless.,Negative
Highly recommend this restaurant.,Positive
Do not buy this item. It's useless.,Negative
Do not buy this experience. It's useless.,Negative
I regret purchasing this movie.,Negative
What a fantastic experience with this service!,Positive
Worst experience ever with this service.,Negative
This is the best movie I've ever used.,Positive
Highly recommend this movie.,Positive
I absolutely loved this movie!,Positive
Highly recommend this item.,Positive
I absolutely loved this movie!,Positive
I'm so happy with this app.,Positive
I regret purchasing this movie.,Negative
Worst experience ever with this item.,Negative
I regret purchasing this experience.,Negative
I hate this item. It's a complete waste of money.,Negative
This is the best service I've ever used.,Positive
Highly recommend this item.,Positive
Highly recommend this movie.,Positive
Highly recommend this item.,Positive
Do not buy this restaurant. It's useless.,Negative
Worst experience ever with this experience.,Negative
I'm so happy with this app.,Positive
What a fantastic experience with this experience!,Positive
I'm so happy with this experience.,Positive
I'm so happy with this app.,Positive
This movie is terrible.,Negative
Highly recommend this movie.,Positive
I'm so happy with this movie.,Positive
I absolutely loved this restaurant!,Positive
This is the best item I've ever used.,Positive
This app is terrible.,Negative
I regret purchasing this experience.,Negative
I regret purchasing this experience.,Negative
What a fantastic experience with this app!,Positive
Do not buy this experience. It's useless.,Negative
Worst experience ever with this service.,Negative
This is the best experience I've ever used.,Positive
Do not buy this app. It's useless.,Negative
Do not buy this restaurant. It's useless.,Negative
Highly recommend this restaurant.,Positive
This experience is terrible.,Negative
Highly recommend this item.,Positive
Highly recommend this app.,Positive
This app is terrible.,Negative
This is the best service I've ever used.,Positive
Highly recommend this app.,Positive
What a fantastic experience with this app!,Positive
I'm so happy with this restaurant.,Positive
I regret purchasing this restaurant.,Negative
