Context,Question,Answer
"The Pacific Ocean is the largest ocean on Earth, covering more than 60 million square miles.",What is the largest ocean on Earth?,The Pacific Ocean
Bitcoin is a decentralized digital currency created in 2009 by an unknown person using the pseudonym Satoshi Nakamoto.,What is machine learning?,a branch of artificial intelligence that focuses on building systems that learn from data
NASA stands for National Aeronautics and Space Administration. It was established in 1958.,Where is the Eiffel Tower located?,"Paris, France"
NASA stands for National Aeronautics and Space Administration. It was established in 1958.,What is the largest ocean on Earth?,The Pacific Ocean
"The Pacific Ocean is the largest ocean on Earth, covering more than 60 million square miles.",What is photosynthesis?,the process by which green plants and some other organisms use sunlight to synthesize foods
"The Great Wall of China is over 13,000 miles long and was built to protect against invasions.",How long is the Great Wall of China?,"over 13,000 miles"
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers.",How long is the Great Wall of China?,"over 13,000 miles"
Machine learning is a branch of artificial intelligence that focuses on building systems that learn from data.,How long is the Great Wall of China?,"over 13,000 miles"
Machine learning is a branch of artificial intelligence that focuses on building systems that learn from data.,What is photosynthesis?,the process by which green plants and some other organisms use sunlight to synthesize foods
"The Great Wall of China is over 13,000 miles long and was built to protect against invasions.",What is the largest tropical rainforest in the world?,The Amazon Rainforest
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers.",What is photosynthesis?,the process by which green plants and some other organisms use sunlight to synthesize foods
"The Pacific Ocean is the largest ocean on Earth, covering more than 60 million square miles.",How long is the Great Wall of China?,"over 13,000 miles"
"The Great Wall of China is over 13,000 miles long and was built to protect against invasions.",How many neurons are in the human brain?,about 86 billion
"The Great Wall of China is over 13,000 miles long and was built to protect against invasions.",What is photosynthesis?,the process by which green plants and some other organisms use sunlight to synthesize foods
Photosynthesis is the process by which green plants and some other organisms use sunlight to synthesize foods.,Who created Python?,Guido van Rossum
"The Eiffel Tower is located in Paris, France. It was built in 1889.",Who created Bitcoin?,an unknown person using the pseudonym Satoshi Nakamoto
"The Great Wall of China is over 13,000 miles long and was built to protect against invasions.",What is the largest ocean on Earth?,The Pacific Ocean
"The Pacific Ocean is the largest ocean on Earth, covering more than 60 million square miles.",What is the largest tropical rainforest in the world?,The Amazon Rainforest
NASA stands for National Aeronautics and Space Administration. It was established in 1958.,What is the largest ocean on Earth?,The Pacific Ocean
"The Eiffel Tower is located in Paris, France. It was built in 1889.",Who created Bitcoin?,an unknown person using the pseudonym Satoshi Nakamoto
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers.",Where is the Eiffel Tower located?,"Paris, France"
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers.",How long is the Great Wall of China?,"over 13,000 miles"
Bitcoin is a decentralized digital currency created in 2009 by an unknown person using the pseudonym Satoshi Nakamoto.,How many neurons are in the human brain?,about 86 billion
Machine learning is a branch of artificial intelligence that focuses on building systems that learn from data.,Where is the Eiffel Tower located?,"Paris, France"
Bitcoin is a decentralized digital currency created in 2009 by an unknown person using the pseudonym Satoshi Nakamoto.,Who created Bitcoin?,an unknown person using the pseudonym Satoshi Nakamoto
"The Amazon Rainforest is the largest tropical rainforest in the world, covering over 5.5 million square kilometers.",What is machine learning?,a branch of artificial intelligence that focuses on building systems that learn from data
Bitcoin is a decentralized digital currency created in 2009 by an unknown person using the pseudonym Satoshi Nakamoto.,Who created Python?,Guido van Rossum
NASA stands for National Aeronautics and Space Administration. It was established in 1958.,Where is the Eiffel Tower located?,"Paris, France"
