text,label,relationship_stage,medium,trigger
"You’re my everything, but sometimes I’m unsure about mood. 💕",6,early_dating,text,happiness
Let’s chill and brainstorm. 💡,1,committed,text,stress
Being with you feels perfect. 😌,2,married,phone,separation
"You’re beautiful, but I’m not sure if schedule is sustainable. 🤔",6,long_distance,email,stress
Your secrets is a major problem. 🚨,0,early_dating,in_person,happiness
Let’s cherish and make some unforgettable memories. 📸,4,early_dating,phone,milestone
I’m here to make you feel better. 😊,5,long_distance,in_person,milestone
"You’re my everything, and I adore you. 💖",5,committed,in_person,milestone
I miss our journey talks and laughter. 💬,3,married,in_person,separation
I feel grateful when you’re near. 😊,2,early_dating,text,happiness
"You’re my rock, and I love you. 💗",5,breaking_up,text,happiness
"We’re in this together, always. 💕",5,committed,text,happiness
I'm done with your secrets games. 👋,0,long_distance,phone,milestone
You're so selfish when it comes to {topic}. 😒,0,early_dating,phone,conflict
"You’re my mi amor, always. 💗",2,committed,in_person,stress
Let’s create and spice things up! 🔥,4,committed,email,stress
I'm exhausted from dealing with your games. 😴,0,committed,in_person,stress
Let’s chill and have fun. 😄,1,committed,in_person,separation
I’m amazing to be with you. 😊,3,early_dating,phone,conflict
I cherish you for all eternity. ❤️,2,married,phone,stress
You’re the perfect one who can make me feel this way. 💕,4,early_dating,in_person,milestone
I’m just talk and trying to understand mood. 📚,6,breaking_up,text,separation
You’re my forever mi amor. 💗,2,breaking_up,phone,separation
Every moment without you feels like forever. 🕰️,3,committed,text,milestone
I love you for who you are. 💖,5,married,text,milestone
"I’m feeling distant about day, and I’m not sure how to move forward. 😊",6,long_distance,phone,separation
Wish you were here to spend with me. 🤗,3,early_dating,in_person,separation
I feel excited when I think of you. 💕,3,long_distance,text,milestone
I don't appreciate your shutting down towards me. 😠,0,married,phone,separation
You make my life incredible. 🌞,2,breaking_up,email,happiness
How do you feel about chat? 🤗,1,early_dating,email,stress
"You’re beautiful, but I’m not sure if mood is working. 🤔",6,breaking_up,text,separation
"You’re my everything, and I’m here to support you. 💕",5,early_dating,email,conflict
You’re the perfect one who can make me feel this way. 💕,4,committed,phone,happiness
I can’t get enough of our life moments together. 😘,3,early_dating,text,separation
You're so annoying when it comes to {topic}. 😒,0,married,in_person,conflict
I love our memories talks. 💬,2,early_dating,phone,stress
You’re my future. 💗,2,committed,email,happiness
I’m wonderful to be with you. 😊,3,committed,phone,stress
