"Profile","Question","Difficulty"
"Data Analyst","What is the difference between descriptive and inferential statistics?","Easy"
"Data Analyst","How do you handle missing values in a dataset?","Medium"
"Data Analyst","What is the purpose of data normalization?","Easy"
...
"Data Analyst","What is the concept of overfitting in machine learning?","Hard"
"Software Developer","What is the difference between monolithic and microservices architecture?","Medium"
"Software Developer","How do you implement inheritance in object-oriented programming?","Hard"
"Software Developer","What is the purpose of a design pattern?","Easy"
...
"Software Developer","What is the concept of continuous deployment?","Hard"
"Marketing Specialist","What is the difference between B2B and B2C marketing?","Easy"
"Marketing Specialist","How do you measure the success of a marketing campaign?","Medium"
"Marketing Specialist","What is the purpose of segmentation in marketing?","Easy"
...
"Marketing Specialist","What is the concept of account-based marketing?","Hard"
...
